Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Growth_Rate (%)
An Giang,607.6,2149.0,98.9,0.03,1300.4,Mekong Delta,2011,
An Giang,608.3,2151.2,98.9,0.1,1304.4,Mekong Delta,2012,0.30759766225776364
An Giang,608.8,2153.3,98.6,0.1,1275.8,Mekong Delta,2013,-2.1925789635081405
An Giang,610.0,2155.8,98.1,0.11,1218.3,Mekong Delta,2014,-4.50697601504938
An Giang,610.0,2158.3,98.1,0.12,1218.9,Mekong Delta,2015,0.049248953459746225
An Giang,611.0,2159.9,98.1,0.07,1228.3,Mekong Delta,2016,0.7711871359422418
An Giang,611.0,2161.7,98.6,-1.12,1096.2,Mekong Delta,2017,-10.754701620125374
An Giang,612.0,2164.2,98.6,-1.18,1078.7,Mekong Delta,2018,-1.5964240102171123
An Giang,539.0,1907.4,98.62,-1.22,1002.5,Mekong Delta,2019,-7.064058589042366
An Giang,539.0,1904.5,98.61,-0.15,985.55,Mekong Delta,2020,-1.6907730673316745
Ba Ria - Vung Tau,513.9,1022.5,99.9,1.1,553.9,South East,2011,
Ba Ria - Vung Tau,519.2,1033.0,99.8,1.03,567.8,South East,2012,2.5094782451706044
Ba Ria - Vung Tau,526.0,1046.5,99.4,1.31,577.6,South East,2013,1.7259598450158675
Ba Ria - Vung Tau,533.0,1059.5,99.7,1.24,537.4,South East,2014,-6.959833795013859
Ba Ria - Vung Tau,539.0,1072.6,99.9,1.84,570.0,South East,2015,6.066244882768901
Ba Ria - Vung Tau,551.0,1092.0,100.2,1.04,598.0,South East,2016,4.912280701754379
Ba Ria - Vung Tau,556.0,1101.6,100.6,0.86,606.6,South East,2017,1.4381270903010002
Ba Ria - Vung Tau,562.0,1112.9,100.7,0.98,610.1,South East,2018,0.5769864820309945
Ba Ria - Vung Tau,582.0,1152.2,100.74,1.22,624.1,South East,2019,2.294705785936735
Ba Ria - Vung Tau,590.0,1167.9,98.3,1.36,597.38,South East,2020,-4.281365165838813
Bac Giang,411.5,1581.8,98.5,0.76,989.4,Midlands and northern mountains,2011,
Bac Giang,413.9,1592.9,98.4,0.7,999.1,Midlands and northern mountains,2012,0.9803921568627416
Bac Giang,417.7,1608.0,96.6,0.95,1000.0,Midlands and northern mountains,2013,0.09008107296566426
Bac Giang,422.0,1624.5,98.7,1.03,1022.6,Midlands and northern mountains,2014,2.2599999999999953
Bac Giang,426.0,1640.9,98.7,1.01,1036.1,Midlands and northern mountains,2015,1.3201642871112806
Bac Giang,426.0,1657.6,98.7,1.02,1034.5,Midlands and northern mountains,2016,-0.15442524852812278
Bac Giang,430.0,1674.4,100.3,2.35,1063.7,Midlands and northern mountains,2017,2.822619623006295
Bac Giang,434.0,1691.8,100.5,2.34,1088.1,Midlands and northern mountains,2018,2.2938798533420846
Bac Giang,465.0,1810.4,100.77,1.85,1107.9,Midlands and northern mountains,2019,1.8196856906534498
Bac Giang,473.0,1841.6,101.01,1.72,1102.8,Midlands and northern mountains,2020,-0.46033035472516914
Bac Kan,61.8,300.4,102.6,0.99,199.6,Midlands and northern mountains,2011,
Bac Kan,62.4,303.0,102.4,0.86,204.8,Midlands and northern mountains,2012,2.605210420841697
Bac Kan,62.8,305.2,103.1,0.7,214.9,Midlands and northern mountains,2013,4.931640625
Bac Kan,63.0,307.3,101.0,0.69,219.6,Midlands and northern mountains,2014,2.1870637505816637
Bac Kan,64.0,313.1,98.9,1.89,223.5,Midlands and northern mountains,2015,1.775956284153013
Bac Kan,66.0,319.0,96.9,1.88,228.8,Midlands and northern mountains,2016,2.371364653243857
