Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year
Ha Noi,2065.6,6865.2,95.4,1.54,3702.5,Hong river Delta,2012
Vinh Phuc,826.8,1022.4,97.6,1.09,607.2,Hong river Delta,2012
Bac Ninh,1319.8,1085.8,96.8,2.1,625.3,Hong river Delta,2012
Quang Ninh,193.0,1177.7,103.4,0.83,691.9,Hong river Delta,2012
Hai Duong,1051.8,1741.7,96.1,0.69,1060.6,Hong river Delta,2012
Hai Phong,1249.5,1904.1,98.6,1.29,1089.0,Hong river Delta,2012
Hung Yen,1235.5,1144.1,97.5,0.5,702.0,Hong river Delta,2012
Thai Binh,1138.5,1787.4,93.8,0.08,1113.1,Hong river Delta,2012
Ha Nam,920.6,792.2,96.1,0.68,469.2,Hong river Delta,2012
Nam Dinh,1110.4,1835.1,95.8,0.09,1112.1,Hong river Delta,2012
Ninh Binh,667.6,919.1,99.3,1.26,553.4,Hong river Delta,2012
Ha Giang,96.2,761.6,99.9,2.01,463.4,Midlands and northern mountains,2012
Cao Bang,76.8,515.2,98.1,0.23,343.8,Midlands and northern mountains,2012
Bac Kan,62.4,303.0,102.4,0.86,204.8,Midlands and northern mountains,2012
Tuyen Quang,126.3,740.8,100.1,0.8,467.0,Midlands and northern mountains,2012
Lao Cai,101.3,646.5,101.3,1.5,396.7,Midlands and northern mountains,2012
Yen Bai,111.2,765.7,99.3,0.93,479.6,Midlands and northern mountains,2012
Thai Nguyen,325.1,1149.1,97.2,0.85,716.5,Midlands and northern mountains,2012
Lang Son,89.6,745.3,99.8,0.6,488.1,Midlands and northern mountains,2012
Bac Giang,413.9,1592.9,98.4,0.7,999.1,Midlands and northern mountains,2012
Phu Tho,379.5,1340.8,97.3,0.86,855.1,Midlands and northern mountains,2012
Dien Bien,54.3,519.7,100.2,1.74,306.4,Midlands and northern mountains,2012
Lai Chau,43.8,397.3,104.9,2.03,238.2,Midlands and northern mountains,2012
Son La,80.0,1134.4,101.0,1.41,710.9,Midlands and northern mountains,2012
Hoa Binh,174.7,805.2,98.2,0.77,539.6,Midlands and northern mountains,2012
Thanh Hoa,310.6,3457.9,97.6,0.59,2138.1,North Central and Central Coast,2012
Nghe An,180.9,2983.3,98.4,0.92,1826.3,North Central and Central Coast,2012
Ha Tinh,207.3,1243.2,97.7,0.44,706.4,North Central and Central Coast,2012
Quang Binh,106.4,858.3,100.1,0.57,513.8,North Central and Central Coast,2012
Quang Tri,128.3,608.2,98.1,0.57,332.4,North Central and Central Coast,2012
Thua Thien Hue,221.3,1113.9,97.8,0.98,614.8,North Central and Central Coast,2012
Da Nang,751.8,966.3,97.3,2.14,508.8,North Central and Central Coast,2012
Quang Nam,139.2,1452.9,95.7,0.71,838.7,North Central and Central Coast,2012
Quang Ngai,238.7,1229.8,97.3,0.37,725.7,North Central and Central Coast,2012
Binh Dinh,248.3,1502.4,95.1,0.28,893.9,North Central and Central Coast,2012
Phu Yen,173.1,876.1,100.2,0.7,540.5,North Central and Central Coast,2012
Khanh Hoa,226.2,1180.1,97.7,0.75,650.7,North Central and Central Coast,2012
Ninh Thuan,172.5,579.4,101.6,0.91,318.1,North Central and Central Coast,2012
Binh Thuan,152.5,1191.6,101.1,0.6,701.1,North Central and Central Coast,2012
Kon Tum,47.8,462.7,113.5,2.46,265.0,Highlands,2012
Gia Lai,86.3,1340.5,104.3,1.42,797.3,Highlands,2012
Dak Lak,136.5,1791.4,101.8,1.18,1033.1,Highlands,2012
Dak Nong,82.4,536.7,114.1,3.3,320.7,Highlands,2012
Lam Dong,126.1,1232.0,100.1,1.09,720.4,Highlands,2012
Binh Phuoc,132.3,908.9,101.9,1.29,568.4,South East,2012
Tay Ninh,269.7,1089.7,97.7,0.71,649.2,South East,2012
Binh Duong,642.4,1731.0,93.1,4.33,1147.2,South East,2012
Dong Nai,458.4,2707.8,96.2,2.56,1585.0,South East,2012
Ba Ria - Vung Tau,519.2,1033.0,99.8,1.03,567.8,South East,2012
Ho Chi Minh,3655.4,7660.3,93.1,2.16,4086.4,South East,2012
Long An,325.1,1460.3,98.7,0.72,894.2,Mekong Delta,2012
Tien Giang,674.8,1692.5,96.2,0.59,1029.4,Mekong Delta,2012
Ben Tre,534.0,1258.9,96.1,0.12,770.8,Mekong Delta,2012
Tra Vinh,435.0,1018.4,97.0,0.52,604.4,Mekong Delta,2012
Vinh Long,687.4,1034.5,97.2,0.53,619.1,Mekong Delta,2012
Dong Thap,496.0,1675.0,99.2,0.2,985.2,Mekong Delta,2012
An Giang,608.3,2151.2,98.9,0.1,1304.4,Mekong Delta,2012
Kien Giang,271.5,1723.8,101.0,0.76,1036.8,Mekong Delta,2012
Can Tho,864.7,1218.3,98.9,0.85,698.9,Mekong Delta,2012
Hau Giang,476.6,763.8,101.6,0.28,456.4,Mekong Delta,2012
Soc Trang,393.0,1301.5,98.7,0.24,749.4,Mekong Delta,2012
Bac Lieu,352.1,869.3,98.9,0.5,516.0,Mekong Delta,2012
Ca Mau,228.9,1212.1,100.8,0.17,697.7,Mekong Delta,2012
